surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
-0.11649605913229055,3.0,0,1,0,0,0,0,6.7
-0.7295896657873145,2.0,0,0,0,0,0,0,4.57
-0.4902680386281166,2.0,0,0,0,0,0,0,4.55
-0.5507706971795993,2.0,0,0,0,0,0,0,5.9
0.19005074419522144,3.0,0,0,0,0,0,0,8.700000000000001
0.26534294150373317,3.0,0,0,0,0,0,0,8.9
0.3782812374665007,3.0,0,0,0,0,0,0,9.2
-1.0979836311896753,1.0,0,1,0,0,0,0,4.38
-0.8048818630958262,2.0,0,1,0,0,0,0,5.53
-0.7564797362546402,2.0,0,1,0,0,0,0,5.65
-0.5521152007029655,2.0,0,1,0,0,0,0,6.23
-0.08153896752476725,3.0,0,1,0,0,0,0,7.93
0.028710321391267765,3.0,0,1,0,0,0,0,8.25
1.9540393668517817,3.0,0,1,0,0,0,0,15.9
3.080733319432725,4.0,0,1,0,0,0,0,21.5
-0.45799995406732585,2.0,0,1,0,0,0,1,4.574000000000001
0.06904542709225618,3.0,0,1,0,0,0,1,5.8950000000000005
-0.44589942235702934,2.0,0,1,0,0,0,0,5.9
0.47374098762550665,3.0,0,1,0,0,0,0,10.9
-1.315793201975013,2.0,0,0,0,1,0,0,3.999000000000001
-0.9447102295259194,2.0,0,0,0,1,0,0,5.399000000000001
-0.7215226446471169,2.0,0,0,0,1,0,0,5.9990000000000006
-1.3964634133769898,1.0,0,0,0,0,0,0,3.3000000000000003
-1.0845385959560125,1.0,0,0,0,0,0,0,4.7
-0.3154825805905001,2.0,0,0,0,0,0,0,7.0
-0.1272520873192208,2.0,0,0,0,0,0,0,7.300000000000001
0.007198265017407272,2.0,0,0,0,0,0,0,7.800000000000001
0.08786847641938411,2.0,0,0,0,0,0,0,8.3
1.0088533899252863,3.0,1,1,0,0,0,0,17.5
2.2659641842727587,3.5,1,1,0,0,0,0,25.0
4.16709216631268,4.5,1,1,0,0,0,0,42.0
-1.3238602231152106,1.0,0,0,0,0,1,0,3.949
-1.315793201975013,1.0,0,0,0,0,1,0,3.949
-1.3588173147227338,1.0,0,0,0,0,1,0,3.949
-0.6193403768712795,2.0,0,0,0,0,1,0,6.499
-0.6892545600863261,2.0,0,0,0,0,1,0,6.499
-0.6247183909647447,2.0,0,0,0,0,1,0,6.499
-1.6599861039567807,1.0,0,1,0,0,0,0,1.319
-1.3776403640498618,2.0,0,0,0,0,0,0,1.729
-0.44993293292712816,2.0,1,1,0,0,0,0,8.700000000000001
0.6391149209995592,3.0,1,1,0,0,0,0,12.9
1.2172514360470599,3.0,1,1,0,0,0,0,16.0
